Type                                  Module                      Label             Process   
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByTrackIsolationUsingLeadingPion"   ""                "HLT"     
vector<BeamSpotOnline>                "hltScalersRawToDigi"       ""                "HLT"     
vector<BeamSpotOnline>                "scalersRawToDigi"          ""                "HLT"     
vector<DcsStatus>                     "hltScalersRawToDigi"       ""                "HLT"     
vector<DcsStatus>                     "scalersRawToDigi"          ""                "HLT"     
vector<L1AcceptBunchCrossing>         "hltScalersRawToDigi"       ""                "HLT"     
vector<L1AcceptBunchCrossing>         "scalersRawToDigi"          ""                "HLT"     
vector<L1TriggerScalers>              "hltScalersRawToDigi"       ""                "HLT"     
vector<L1TriggerScalers>              "scalersRawToDigi"          ""                "HLT"     
vector<Level1TriggerScalers>          "hltScalersRawToDigi"       ""                "HLT"     
vector<Level1TriggerScalers>          "scalersRawToDigi"          ""                "HLT"     
vector<LumiScalers>                   "hltScalersRawToDigi"       ""                "HLT"     
vector<LumiScalers>                   "scalersRawToDigi"          ""                "HLT"     
vector<PileupSummaryInfo>             "addPileupInfo"             ""                "HLT"     
vector<double>                        "ak5CaloJets"               "rhos"            "HLT"     
vector<double>                        "ak5GenJets"                "rhos"            "HLT"     
vector<double>                        "ak5PFJets"                 "rhos"            "HLT"     
vector<double>                        "ak5TrackJets"              "rhos"            "HLT"     
vector<double>                        "ak7BasicJets"              "rhos"            "HLT"     
vector<double>                        "ak7CaloJets"               "rhos"            "HLT"     
vector<double>                        "ak7GenJets"                "rhos"            "HLT"     
vector<double>                        "ak7PFJets"                 "rhos"            "HLT"     
vector<double>                        "kt4CaloJets"               "rhos"            "HLT"     
vector<double>                        "kt4GenJets"                "rhos"            "HLT"     
vector<double>                        "kt4PFJets"                 "rhos"            "HLT"     
vector<double>                        "kt6CaloJets"               "rhos"            "HLT"     
vector<double>                        "kt6GenJets"                "rhos"            "HLT"     
vector<double>                        "kt6PFJets"                 "rhos"            "HLT"     
vector<double>                        "ak5CaloJets"               "sigmas"          "HLT"     
vector<double>                        "ak5GenJets"                "sigmas"          "HLT"     
vector<double>                        "ak5PFJets"                 "sigmas"          "HLT"     
vector<double>                        "ak5TrackJets"              "sigmas"          "HLT"     
